台区标识,日期,功率因数均值,功率因数标准差,三相不平衡均值,三相不平衡标准差,电压均值,电压标准差,电流均值,电流方差,负载率均值,负载率标准差,线损
1651044,20170920,97.29375,2.893736501,0.562903125,0.253282225,234.034375,5.648607771,0.127534722,0.119146934,0.029285,0.027541987,0.112789855
1651044,20170921,92.80208333,7.132247471,0.588144792,0.240128311,233.9756944,5.653210083,0.124746528,0.120572484,0.028853125,0.028301518,0.084285714
1651044,20170922,90.85208333,9.156941574,0.576058333,0.182762691,234.6350694,5.379215336,0.163600694,0.172941957,0.037165313,0.035920465,0.01636253
1651044,20170923,93.42916667,6.271827164,0.570485417,0.263548678,234.4180556,5.607802758,0.176315972,0.185523399,0.032650625,0.030899695,0.093224638
1651044,20170924,92.1875,8.830383745,0.640882292,0.225525394,235.7673611,4.574124535,0.120013889,0.120140079,0.020460313,0.016388,-0.195305164
1651044,20170925,91.16770833,9.867333467,0.589365625,0.272908488,235.4635417,5.432677359,0.130277778,0.138175057,0.02523125,0.023165243,0.112113821
1651044,20170926,93.78229167,6.895696043,0.60019375,0.224009982,234.9833333,5.878444617,0.131388889,0.13858389,0.027481875,0.02856587,0.081083333
1651044,20170927,89.20104167,9.618552979,0.639185417,0.252098093,234.5545139,5.682421155,0.121263889,0.117550993,0.02873,0.030977594,-0.054490741
1651044,20170928,93.78958333,8.138917301,0.633747917,0.266770139,235.2090278,5.630792242,0.150725694,0.176380993,0.034858438,0.044103934,0.12866941
1651044,20170929,92.88645833,7.328349914,0.591947917,0.251905655,234.6809028,5.528356498,0.163270833,0.203649829,0.033705,0.03869517,0.224407252
1651044,20170930,90.61979167,10.47440949,0.621160417,0.250081103,235.8326389,5.468639505,0.12953125,0.150677379,0.021918125,0.017056389,-0.0271875
1651044,20171001,92.72708333,9.811170071,0.743667708,0.171852731,238.9520833,2.907341492,0.054993056,0.055077849,0.010895625,0.007387768,-0.815705128
1651044,20171002,94.39375,7.005530739,0.736482292,0.209946245,238.7,3.597250107,0.067416667,0.064266157,0.014172813,0.010140272,-0.523888889
1651044,20171003,96.859375,4.554132238,0.755489583,0.142016079,238.6131944,3.601952529,0.063451389,0.063990107,0.014593438,0.010775061,-0.56487069
1651044,20171004,95.76666667,7.255280644,0.794670833,0.117352713,239.2798611,2.952202094,0.061579861,0.054593325,0.011124688,0.005486148,-0.759593023
1651044,20171005,96.27916667,3.822355204,0.596252083,0.244719644,237.3427083,4.173022106,0.173461806,0.177514588,0.03498,0.033644198,0.248
1651044,20171006,96.19270833,5.264350324,0.607067708,0.257601759,236.4791667,4.149387087,0.169663194,0.166901962,0.036357188,0.034634172,0.234628975
